Date,TA35_Open,TA35_Close,dual_us_weighted_return,dual_us_fraction_up,dual_us_weight_sum,dual_us_normalized_return,Prev_Close,TA35_Return,Lag1_Return,RollingVol_5,Open_Gap,Open_Gap_Sign,ret_5d,ret_10d,ret_20d,ma_10,ma_20,dist_ma_10,dist_ma_20,vol_10,vol_20,Expiry_Date,Expiry_Close,Days_To_Expiry,Short_Strike,Long_Strike,Dist_To_Short_Pct,Dist_To_Long_Pct,Spread_Width,Target_Binary,Expiry_Return_From_Entry
2026-03-13,4109.82,4177.58,0.0028809820120355,0.5555555555555556,0.5240241999999999,0.0054978033686909,4146.17,0.0075756662172559,-0.015587085867867,0.0155117006811401,-0.00876712725238,0,-0.04110928505192035,0.01852447825238923,0.004129410633592956,4241.969,4216.4445,-0.015179035961837561,-0.009217363112451693,0.019850640269627347,0.015154735536889778,2026-03-31,4099.01,18,4220.0,4230.0,0.010154204108598686,0.012547934450088283,10.0,1,-0.01880753929308354
2026-03-16,4187.59,4177.04,0.0183042889981294,0.7777777777777778,0.5240241999999999,0.034930236042781,4177.58,-0.0001292614384403,0.0075756662172559,0.0098848035159636,0.002396124071831,1,-0.011823932699632445,0.011791607321067099,-0.0032262991103815253,4246.837,4215.7685,-0.016435055077461236,-0.00918658128405303,0.019794044176064573,0.01506657759741228,2026-03-31,4099.01,15,4220.0,4230.0,0.010284794974431577,0.012678834772949177,10.0,1,-0.01868069254783289
2026-03-17,4157.82,4242.48,0.0143023654185965,0.6666666666666666,0.5240241999999999,0.02729333000002,4177.04,0.0156665964414992,-0.0001292614384403,0.0116541914012051,-0.0046013444927509,0,0.013015852549086881,-0.01760333449114282,0.017327623003102754,4239.235,4219.3815,0.0007654682979358896,0.005474380546058422,0.013498821790320444,0.01541719352556196,2026-03-31,4099.01,14,4280.0,4290.0,0.008843883766099125,0.011200995644057299,10.0,1,-0.03381748411306584
2026-03-18,4258.39,4295.11,0.0012966987582938,0.4444444444444444,0.5240241999999999,0.0024745016705218,4242.48,0.0124054798136938,0.0156665964414992,0.0124524168720572,0.0037501649978315,1,0.019775299039370253,-0.0033807614486459636,0.023546934203941383,4237.778,4224.322,0.013528787963881017,0.01675724530469025,0.014211488536018292,0.015588541461176584,2026-03-31,4099.01,13,4340.0,4350.0,0.010451420336149875,0.012779649415265437,10.0,1,-0.045656572241455806
2026-03-19,4279.98,4305.03,0.0172674352122296,0.7777777777777778,0.5240241999999999,0.0329515988235461,4295.11,0.0023096032464826,0.0124054798136938,0.006631121242167,-0.0035226105967018,0,0.03831487855056581,-0.011680682107757079,0.017100398095755587,4232.6900000000005,4227.941000000001,0.017090786237593303,0.018233225108864826,0.01373042344469351,0.01549461426317231,2026-03-31,4099.01,12,4350.0,4360.0,0.010445920237489803,0.012768784421943735,10.0,1,-0.04785564792812114
2026-03-20,4340.79,4313.86,-0.0174191541159822,0.0,0.5240241999999999,-0.0332411253449405,4305.03,0.0020510890748728,0.0023096032464826,0.0070744752606305,0.0083065623236076,1,0.03262175709381987,-0.009828585069364904,0.024574920613054774,4228.408,4233.114500000001,0.0202090242947226,0.01907472618564876,0.013762373022318619,0.015426226872656318,2026-03-31,4099.01,11,4360.0,4370.0,0.01069575739592854,0.013013866931240292,10.0,1,-0.049804583366173105
2026-03-23,4233.42,4318.13,0.0102801648341783,0.7777777777777778,0.5240241999999999,0.0196177291700999,4313.86,0.0009898327715782,0.0020510890748728,0.0068272454137543,-0.0186468731020477,0,0.03377750751728503,0.021554191842006798,0.020325558645687414,4237.518999999999,4237.4155,0.019023159542175705,0.01904804945372951,0.009313925604847851,0.015399867006542476,2026-03-31,4099.01,8,4360.0,4370.0,0.009696326882238315,0.012012144145729708,10.0,1,-0.050744187877622915
2026-03-24,4257.01,4267.51,0.0060764537129536,0.6666666666666666,0.5240241999999999,0.011595750182823,4318.13,-0.0117226669877933,0.0009898327715782,0.0085813405114092,-0.0141542751144592,0,0.005899851030529479,0.018992495170691237,0.005665174962943054,4245.473,4238.6175,0.005190705487939873,0.006816491462133589,0.009678178707176228,0.015657557984588105,2026-03-31,4099.01,7,4310.0,4320.0,0.009956625760689342,0.012299912595401086,10.0,1,-0.03948438316489011
2026-03-25,4293.7,4309.11,0.0012254114726045,0.4444444444444444,0.5240241999999999,0.0023384635148615,4267.51,0.0097480732324,-0.0117226669877933,0.0077570528075534,0.0061370682201096,1,0.003259520710761743,0.02309927774691234,0.033607579755337014,4255.201999999999,4245.6230000000005,0.012668728770103055,0.014953518011372902,0.009935047699469929,0.015193635318299951,2026-03-31,4099.01,6,4350.0,4360.0,0.009489198465576498,0.011809863289635292,10.0,1,-0.04875716795347518
2026-03-26,4300.05,4261.85,-0.0124293555524069,0.4444444444444444,0.5240241999999999,-0.0237190487622651,4309.11,-0.0109674619585017,0.0097480732324,0.0091966205722354,-0.0021025223305971,0,-0.010030127548472212,0.02790044788322721,0.02376948761680575,4266.7699999999995,4250.5705,-0.0011530970734300316,0.002653643787345894,0.009079930384053069,0.015446378534743878,2026-03-31,4099.01,5,4300.0,4310.0,0.008951511667468326,0.011297910531811173,10.0,1,-0.038208759106960644
